koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_jmag_err,koi_hmag,koi_hmag_err,koi_kmag,koi_kmag_err,koi_count,koi_num_transits,koi_max_sngle_ev,koi_max_mult_ev,koi_bin_oedp_sig,koi_ldm_coeff2,koi_ldm_coeff1,koi_model_snr,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_period,koi_period_err1,koi_period_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_incl,koi_teq,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,koi_tce_plnt_num,koi_time0,koi_time0_err1,koi_time0_err2,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_insol,koi_insol_err1,koi_insol_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_score,ExoplanetCandidate
15.348,14.622,14.391,14.248,13.159,0.027,12.833,0.031,12.708,0.025,3,180,4.3723316,27.37242,0.262,0.186,0.5256,35.1,135.92756,0.00236,-0.00236,1.94,0.21,-0.26,0.062,0.219,0.248,-0.219,3.7419,0.0742,-0.0742,385.2,11.8,-11.8,6.05729966,1.792e-05,-1.792e-05,0.017666,0.000605,-0.000458,12.31,1.2,-1.2,88.98,947.0,5334.0,79.0,-79.0,4.372,0.132,-0.077,0.16,0.15,-0.15,1.004,0.111,-0.135,0.865,0.064,-0.032,0.644,19.941832,1.4e-05,47.59388,0.00014,-0.09,0.5,0.2,0.49,0.00011,0.00019,-5e-05,0.00018,-0.17,0.18,0.32,0.24,0.37,0.18,-0.18,0.17,0.37,0.23,0.41,0.19,1,2454968.928,0.00236,-0.00236,0,0,0,0,189.98,58.52,-55.9,0.96083,0.09733,-0.35384,1.0,1
13.626,12.981,12.766,12.659,11.669,0.021,11.261,0.022,11.171,0.019,1,362,4.7086787,22.710674,0.9767,0.2329,0.4554,29.8,133.16065,0.00406,-0.00406,1.24,0.19,-0.43,0.0455,0.71,0.24,-0.492,5.408,0.102,-0.102,68.6,2.6,-2.6,3.70063251,1.772e-05,-1.772e-05,0.008108,0.001958,-0.000641,3.83,1.8,-1.8,79.31,1329.0,5423.0,108.0,-97.0,4.105,0.36,-0.112,0.08,0.15,-0.1,1.404,0.21,-0.49,0.915,0.049,-0.061,0.246,19.483494,1.1e-05,40.79287,0.00011,-0.18,0.43,0.54,0.39,1.5e-05,2.9e-05,-2.1e-05,2.6e-05,0.05,0.24,-0.28,0.26,0.29,0.27,0.03,0.25,-0.05,0.24,0.06,0.26,1,2454966.161,0.00406,-0.00406,0,0,0,0,737.02,316.9,-446.43,0.07759,0.10784,-0.01172,0.994,1
11.779,11.422,11.358,11.352,10.536,0.024,10.3,0.018,10.234,0.019,3,90,5.7231855,24.057016,0.0603,0.2799,0.381,22.0,141.51253,0.00356,-0.00356,1.46,0.04,-0.03,0.1242,0.613,0.344,-0.394,3.414,0.102,-0.102,107.3,5.3,-5.3,14.4359459,6.195e-05,-6.195e-05,0.009895,0.002705,-0.000464,25.9,11.7,-11.7,88.65,884.0,6075.0,122.0,-97.0,4.264,0.012,-0.012,0.32,0.1,-0.1,1.352,0.036,-0.03,1.225,0.055,-0.04,0.0,19.012685,1e-05,46.028244,8.8e-05,0.72,0.39,1.02,0.32,-7.8e-05,3.8e-05,-5.7e-05,3.1e-05,1.2,0.31,0.97,0.34,1.54,0.4,1.31,0.29,1.34,0.36,1.88,0.42,3,2454974.513,0.00356,-0.00356,0,0,0,0,144.45,20.39,-14.96,1.58394,1.43307,-1.44712,1.0,1
16.055,15.245,14.999,14.854,13.843,0.025,13.355,0.026,13.234,0.034,1,692,4.043872,26.73127,0.4629,0.1914,0.5167,51.7,132.32528,0.00228,-0.00228,1.5,0.2,-0.1,0.025,0.272,0.708,-0.272,3.29,0.708,-0.708,378.0,23.2,-23.2,1.541350116,4.368e-06,-4.368e-06,0.017486,0.027636,-0.000945,3.565,0.928,-0.928,85.63,1273.0,5150.0,170.0,-139.0,4.59,0.026,-0.097,0.12,0.25,-0.3,0.784,0.104,-0.052,0.878,0.05,-0.092,0.0,19.80383,1.9e-05,46.84312,0.00019,73.16,0.72,-113.03,0.67,-0.01576,0.00015,0.02426,0.00014,5.174,0.072,-8.985,0.078,10.368,0.081,5.08,0.07,-9.265,0.07,10.567,0.072,1,2454965.325,0.00228,-0.00228,0,0,1,0,619.14,285.34,-135.36,0.36089,0.18791,-0.3254,0.0,0
15.959,15.434,15.282,15.207,14.265,0.029,13.878,0.028,13.847,0.045,1,109,8.301914,52.609734,0.4105,0.2916,0.3447,66.7,170.76535,0.00137,-0.00137,3.24,0.94,-0.32,0.1054,0.668,0.05,-0.481,4.0168,0.0646,-0.0646,1145.9,19.7,-19.7,12.53248222,2.23e-05,-2.23e-05,0.032795,0.002946,-0.00159,18.8,6.4,-6.4,87.96,775.0,5997.0,162.0,-198.0,4.522,0.048,-0.192,-0.22,0.3,-0.3,0.904,0.264,-0.088,0.991,0.121,-0.133,0.775,19.3378694,7.1e-06,46.579107,6.3e-05,0.12,0.26,-0.12,0.23,5e-05,0.0003,9e-05,0.00027,0.039,0.089,0.018,0.099,0.042,0.088,0.039,0.091,0.11,0.1,0.117,0.094,1,2455003.765,0.00137,-0.00137,0,0,0,0,85.15,72.99,-24.49,0.79997,0.82147,-0.56759,1.0,1
13.624,13.169,13.038,12.998,12.161,0.022,11.87,0.022,11.826,0.018,2,280,3.4414535,9.534734,0.6367,0.2891,0.3589,12.1,135.8003,0.0108,-0.0108,1.57,0.21,-0.55,0.062,0.673,0.292,-0.449,4.947,0.299,-0.299,35.6,3.4,-3.4,4.7482669,6.006e-05,-6.006e-05,0.005783,0.001513,-0.000437,5.54,2.1,-2.1,83.02,1690.0,6056.0,81.0,-81.0,3.797,0.285,-0.095,0.14,0.15,-0.1,2.481,0.343,-0.859,1.408,0.151,-0.226,0.019,19.756957,2.7e-05,41.33603,0.00031,-0.7,1.1,1.7,1.1,2.3e-05,3.6e-05,-4.9e-05,3.7e-05,0.3,1.1,-0.83,0.53,0.88,0.59,0.4,1.3,-0.78,0.55,0.86,0.81,2,2454968.8,0.0108,-0.0108,0,0,0,0,1927.62,706.15,-1146.93,0.14259,0.2144,-0.01308,0.979,1
14.485,13.658,13.371,13.209,12.038,0.02,11.565,0.019,11.449,0.016,1,2006,7.3826838,7.5358043,0.8632,0.2172,0.4781,4.4,131.7585541,,,3.34,1.01,-1.65,0.0169,0.389,,,1.2517,,,50.3,,,0.619618218,,,0.006476,0.0,0.0,3.57259,,,83.74,3818.0,5180.0,145.0,-163.0,3.314,0.409,-0.22,-0.18,0.25,-0.3,4.717,1.431,-2.325,1.673,0.229,-0.686,0.0,19.706951,2e-05,48.72043,0.00018,0.82,0.72,8.2,0.66,-3.9e-05,3.3e-05,-0.000367,3e-05,0.05,0.19,7.52,0.55,7.52,0.55,0.01,0.19,7.66,0.6,7.66,0.59,1,2454964.759,,,0,0,1,0,50197.86,45033.63,-38839.04,2.24677,0.0,0.0,0.0,0
16.393,15.628,15.392,15.283,14.24,0.025,13.758,0.029,13.752,0.059,4,200,3.6596506,15.91325,0.4126,0.1451,0.582,19.0,135.26657,0.00357,-0.00357,1.67,0.08,-0.12,0.0634,0.08,0.375,-0.08,2.591,0.131,-0.131,418.3,24.1,-24.1,6.50327035,3.134e-05,-3.134e-05,0.018135,0.000987,-0.000636,19.47,1.6,-1.6,89.76,804.0,4999.0,79.0,-79.0,4.49,0.075,-0.03,0.18,0.15,-0.15,0.843,0.04,-0.06,0.8,0.048,-0.028,0.009,19.476315,2.5e-05,47.15776,0.00026,0.63,0.93,1.49,0.92,-0.00019,0.00037,-0.00059,0.00037,1.1,1.1,-0.96,0.76,1.46,0.86,1.3,1.1,-0.93,0.68,1.62,0.85,1,2454968.267,0.00357,-0.00357,0,0,0,0,98.81,16.62,-18.82,3.30276,0.26862,-1.45375,1.0,1
16.175,15.624,15.466,15.372,14.403,0.029,14.012,0.031,13.939,0.044,1,77,5.270732,17.565126,0.9749,0.2916,0.3447,20.1,143.74584,0.00641,-0.00641,1.93,0.6,-0.19,0.1189,0.136,0.312,-0.136,4.359,0.146,-0.146,476.8,27.7,-27.7,15.1408916,0.0001144,-0.0001144,0.019976,0.000936,-0.000592,26.83,2.8,-2.8,89.71,714.0,5926.0,187.0,-207.0,4.532,0.05,-0.2,-0.2,0.3,-0.3,0.887,0.273,-0.091,0.978,0.119,-0.131,0.362,19.251113,2e-05,46.39444,0.00021,-0.72,0.73,0.07,0.74,0.00031,0.00035,0.00017,0.00035,-0.16,0.34,-0.15,0.2,0.22,0.3,-0.2,0.31,-0.02,0.24,0.2,0.31,1,2454976.746,0.00641,-0.00641,0,0,0,0,61.42,57.53,-18.51,1.59423,0.1683,-0.5869,0.997,1
13.193,12.832,12.745,12.737,11.916,0.021,11.691,0.022,11.613,0.022,1,2009,4.129594,8.025462,0.8407,0.3032,0.3147,7.6,131.63516,0.00806,-0.00806,0.46,0.07,-0.05,0.0149,0.382,0.116,-0.382,1.561,0.397,-0.397,16.2,3.3,-3.3,0.664727127,6.678e-06,-6.678e-06,0.003748,0.000697,-0.00122,3.09,1.5,-1.5,82.91,2343.0,6143.0,83.0,-92.0,4.344,0.11,-0.121,-0.2,0.15,-0.15,1.116,0.189,-0.126,1.001,0.073,-0.059,0.042,19.528904,2.5e-05,40.98626,0.00028,1.7,1.0,-0.5,1.0,-3e-05,1.8e-05,9e-06,1.8e-05,-5.544,0.07,-7.478,0.073,9.309,0.072,-5.585,0.07,-7.426,0.076,9.292,0.075,1,2454964.635,0.00806,-0.00806,0,1,1,0,7149.67,3165.89,-1852.86,1.26556,27.35268,-0.97257,0.0,0
